Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABP1302371,A354733731916873,TCABT1417956,"Tagfahrt",none,859711894978,"Kairal",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1382232,A823543539406616,TCABS1382232,"Opium 5",none,none,"L.S.D Kairal",none,"","",,"",no status
TCABO1393024,A461864348147521,TCABO1393024,"Ouverture Ii",none,none,"Kairal Tribut",none,"","",,"",no status
TCABN1364778,A230827346930826,TCABN1364778,"Ouverture Iii",none,none,"Kairal & Friends",none,"","",,"",no status
TCABU1428276,A548505196231652,TCABU1428276,"Passé Rouge",none,859712095374,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1384458,A915982067187829,TCABL1384458,"Payday Time At Birthday",none,none,"24 : Kairal",none,"","",,"",no status
TCAAT1099731,A411519498130179,TCAAT1099731,"Petti Ping - Hotapple High7 (Short Version For New Year'S Ev",none,none,"Petti Ping",none,"","",,"",no status
TCABM1375065,A232337721590564,TCABM1375065,"Point of No",none,859709741550,"Kairal",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABT1402004,A971440446146135,TCABT1402004,"Point Of No",none,none,"Kairal & Friends",none,"","",,"",no status
TCABU1422680,Item not in CMS
TCABS1369509,A608468675376146,TCABS1369509,"Psychological Warface",none,none,"Kairal Tribut",none,"","",,"",no status
TCABB1128950,A638171676549557,TCABB1128950,"Real/M",none,859706951709,"Kairal",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1360603,A611933920140916,TCABM1360603,"Rechts V Links Makes Kings",none,859709705903,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1393236,A467321429458825,TCABO1393236,"Red Dirt In Your Lies (Reconstructional Rebeat Courtesy Prim)",none,none,"Kairal Tribut",none,"","",,"",no status
TCABA1184756,A303785274668681,TCABA1184756,"Red Dirt '11",none,859706837072,"Kairal",Blues,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
